No	Latitude	Longitude	Altitude	Speed	Satellites	Date	Time
1	27.007949	-108.802265	310.2	0.11	8	2015/10/10	13:50:18
2	27.007849	-108.802499	333.0	0.11	9	2015/10/10	13:51:08.787
3	27.007893	-108.802522	351.4	0.10	9	2015/10/10	13:52:01.586
4	27.007845	-108.802499	339.3	0.00	9	2015/10/10	13:52:51
5	27.007840	-108.802403	313.8	0.00	9	2015/10/10	13:53:40
6	27.007798	-108.802244	343.2	0.68	9	2015/10/10	13:54:32.944
7	27.007505	-108.801718	332.1	0.70	9	2015/10/10	13:55:25.855
8	27.007227	-108.801483	333.4	0.06	8	2015/10/10	13:56:18.775
9	27.007156	-108.801401	315.0	0.12	8	2015/10/10	13:57:09.850
10	27.007251	-108.801489	345.2	0.17	9	2015/10/10	13:57:58
11	27.007175	-108.801328	335.5	0.84	9	2015/10/10	13:58:51.156
12	27.006905	-108.800942	331.5	0.84	9	2015/10/10	13:59:44.281
13	27.007015	-108.800745	309.9	0.00	9	2015/10/10	14:00:34
14	27.006960	-108.800608	269.2	0.37	8	2015/10/10	14:01:26.64
15	27.006919	-108.800080	275.1	1.02	8	2015/10/10	14:02:15
16	27.006879	-108.800067	277.4	0.00	8	2015/10/10	14:03:05
17	27.006697	-108.799760	270.1	0.00	8	2015/10/10	14:03:55
18	27.006383	-108.799977	268.2	0.00	8	2015/10/10	14:04:46
19	27.006379	-108.800259	318.3	0.00	7	2015/10/10	14:05:37
20	27.006603	-108.800295	286.1	0.00	8	2015/10/10	14:06:28
21	27.006931	-108.800478	284.8	0.41	8	2015/10/10	14:07:20.208
22	27.007046	-108.801038	288.8	0.34	8	2015/10/10	14:08:11
23	27.007401	-108.801468	279.1	0.00	8	2015/10/10	14:09:02
24	27.007734	-108.801774	276.9	0.56	8	2015/10/10	14:09:52
25	27.007955	-108.802365	284.3	0.00	8	2015/10/10	14:10:42
26	27.008028	-108.802505	304.0	0.31	7	2015/10/10	14:11:31
27	27.008072	-108.802803	300.6	0.15	8	2015/10/10	14:12:21
28	27.008010	-108.802977	251.1	0.38	8	2015/10/10	14:13:11
29	27.007956	-108.803456	274.4	0.00	8	2015/10/10	14:14:01
30	27.007949	-108.803762	318.7	0.41	8	2015/10/10	14:14:52
31	27.007676	-108.804162	296.3	1.13	8	2015/10/10	14:15:42
32	27.007505	-108.804628	279.8	0.00	8	2015/10/10	14:16:32
33	27.007583	-108.804928	289.6	0.47	8	2015/10/10	14:17:23.613
34	27.007846	-108.805332	322.2	0.25	8	2015/10/10	14:18:13
35	27.008014	-108.804858	271.3	0.88	6	2015/10/10	14:19:01.787
36	27.008100	-108.804625	297.9	0.00	6	2015/10/10	14:19:53
37	27.008413	-108.804550	295.1	0.59	5	2015/10/10	14:20:43
38	27.008756	-108.804490	301.7	0.00	7	2015/10/10	14:21:34
39	27.008982	-108.804105	302.8	0.00	7	2015/10/10	14:22:27
40	27.009290	-108.804095	294.1	0.00	7	2015/10/10	14:23:18
41	27.008780	-108.803979	302.5	0.00	7	2015/10/10	14:24:09
42	27.008485	-108.803602	314.2	0.22	8	2015/10/10	14:24:59
43	27.008412	-108.803342	299.1	0.00	8	2015/10/10	14:25:51
44	27.008072	-108.802976	305.4	0.00	8	2015/10/10	14:26:41
45	27.007936	-108.802554	295.9	1.15	8	2015/10/10	14:27:31
46	27.007855	-108.802407	346.2	0.00	8	2015/10/10	14:28:21
47	27.007810	-108.802414	320.9	0.00	8	2015/10/10	14:29:11
48	27.007921	-108.802353	300.0	0.18	9	2015/10/10	14:30:04.70
49	27.007927	-108.802208	271.6	0.07	9	2015/10/10	14:30:54
50	27.007812	-108.802390	309.9	0.12	9	2015/10/10	14:31:46
51	27.007817	-108.802347	311.0	0.00	8	2015/10/10	14:32:39
52	27.007945	-108.802304	305.8	0.12	9	2015/10/10	14:33:35.272
53	27.007808	-108.802311	315.3	0.00	8	2015/10/10	14:34:27
54	27.007949	-108.802349	286.0	0.21	9	2015/10/10	14:35:17
55	27.007892	-108.802350	300.7	0.06	9	2015/10/10	14:36:10.510
56	27.007998	-108.802257	272.4	0.12	8	2015/10/10	14:37:05.882
57	27.007892	-108.802447	307.8	0.02	8	2015/10/10	14:38:01.333
58	27.007916	-108.802453	340.9	0.00	8	2015/10/10	14:38:53
59	27.007926	-108.802346	295.0	0.00	9	2015/10/10	14:39:45
60	27.007830	-108.802418	321.2	0.00	8	2015/10/10	14:40:37
61	27.007956	-108.802383	320.3	0.00	9	2015/10/10	14:41:29
62	27.008373	-108.801856	328.7	0.00	8	2015/10/10	14:42:21
63	27.008331	-108.801846	312.3	0.00	9	2015/10/10	14:43:13
64	27.009229	-108.801180	343.8	0.00	7	2015/10/10	14:44:05
65	27.009251	-108.801252	348.8	0.00	7	2015/10/10	14:44:57
66	27.009229	-108.801141	335.9	2.22	7	2015/10/10	14:45:50
67	27.010467	-108.800851	353.6	0.00	7	2015/10/10	14:46:44
68	27.010602	-108.800824	343.3	0.00	7	2015/10/10	14:47:37
69	27.010663	-108.800839	310.8	0.08	7	2015/10/10	14:48:28
70	27.010564	-108.800755	369.8	0.00	6	2015/10/10	14:49:19
71	27.010514	-108.800826	341.8	0.00	7	2015/10/10	14:50:12
72	27.010621	-108.800895	347.8	0.00	6	2015/10/10	14:51:04
73	27.011183	-108.801125	340.7	0.00	6	2015/10/10	14:51:57
74	27.011422	-108.801327	354.4	0.41	5	2015/10/10	14:52:56.225
75	27.011553	-108.801401	307.6	0.64	6	2015/10/10	14:53:48
76	27.012048	-108.801618	322.1	0.00	6	2015/10/10	14:54:41
