No	Latitude	Longitude	Altitude	Speed	Satellites	Date	Time
1	27.015172	-108.794814	465.4	0.25	4	2015/08/06	17:18:42.272
2	27.015080	-108.794720	466.9	0.53	4	2015/08/06	17:20:04.623
3	27.015134	-108.794789	427.1	0.13	4	2015/08/06	17:21:13.365
4	27.015090	-108.794795	439.6	0.08	4	2015/08/06	17:22:21.879
5	27.015222	-108.794698	447.4	0.01	4	2015/08/06	17:24:02.249
6	27.014970	-108.794652	430.4	0.11	4	2015/08/06	17:25:22.491
7	27.015144	-108.794785	445.9	0.24	4	2015/08/06	17:26:29.505
8	27.015103	-108.794767	461.7	0.13	4	2015/08/06	17:27:36.520
